First Commonwealth Financial Corporation (FCF) ,FCF,817550000, 10/28/2015 , Sep 2015 , $0.16 , 4 , $0.14 ,-12.5%
First Financial Corporation Indiana (THFF) ,THFF,439830000, 10/28/2015 , Sep 2015 , $0.61 , 2 , $0.65 ,6.56%
First Financial Northwest Inc. (FFNW) ,FFNW,180940000, 10/28/2015 , Sep 2015 , $0.17 , 1 , $0.18 ,5.88%
First Industrial Realty Trust Inc. (FR) ,FR,2400000000, 10/28/2015 , Sep 2015 , $0.35 , 6 , $0.35 ,0%
First West Virginia Bancorp Inc. (FWV) ,FWV,32850000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.14 ,n/a
FirstService Corporation (FSV) ,FSV,1220000000, 10/28/2015 , Sep 2015 , $0.49 , 2 , $0.49 ,0%
FLIR Systems Inc. (FLIR) ,FLIR,3740000000, 10/28/2015 , Sep 2015 , $0.42 , 4 , $0.4 ,-4.76%
FMC Corporation (FMC) ,FMC,5440000000, 10/28/2015 , Sep 2015 , $0.38 , 8 , $0.42 ,10.53%
Fomento Economico Mexicano S.A.B. de C.V. (FMX) ,FMX,7090000000, 10/28/2015 , Sep 2015 , $0.83 , 2 , $0.58 ,-30.12%
FormFactor Inc. (FORM) ,FORM,479240000, 10/28/2015 , Sep 2015 , $-0.02 , 1 , $0.01 ,-150%
Forrester Research Inc. (FORR) ,FORR,578280000, 10/28/2015 , Sep 2015 , $0.11 , 2 , $0.25 ,127.27%
Fox Chase Bancorp Inc. (FXCB) ,FXCB,202520000, 10/28/2015 , Sep 2015 , $0.14 , 1 , $0.21 ,50%
FS Bancorp Inc. (FSBW) ,FSBW,82990000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.66 ,n/a
Garmin Ltd. (GRMN) ,GRMN,6750000000, 10/28/2015 , Sep 2015 , $0.52 , 9 , $0.51 ,-1.92%
Generac Holdlings Inc. (GNRC) ,GNRC,2190000000, 10/28/2015 , Sep 2015 , $0.81 , 5 , $0.92 ,13.58%
General Dynamics Corporation (GD) ,GD,46970000000, 10/28/2015 , Sep 2015 , $2.1 , 9 , $2.28 ,8.57%
Gibraltar Industries Inc. (ROCK) ,ROCK,785940000, 10/28/2015 , Sep 2015 , $0.36 , 3 , $0.5 ,38.89%
Gladstone Investment Corporation (GAIN) ,GAIN,226730000, 10/28/2015 , Sep 2015 , $0.19 , 2 , $0.2 ,5.26%
GlaxoSmithKline PLC (GSK) ,GSK,104120000000, 10/28/2015 , Sep 2015 , $0.6 , 3 , $0.71 ,18.33%
Golden Star Resources Ltd (GSS) ,GSS,57180000, 10/28/2015 , Sep 2015 , $-0.07 , 2 , $-0.04 ,-42.86%
GoPro Inc. (GPRO) ,GPRO,3440000000, 10/28/2015 , Sep 2015 , $0.22 , 4 , $0.14 ,-36.36%
Graham Corporation (GHM) ,GHM,171600000, 10/28/2015 , Sep 2015 , $0.15 , 2 , $0.2 ,33.33%
Grand Canyon Education Inc. (LOPE) ,LOPE,1960000000, 10/28/2015 , Sep 2015 , $0.65 , 5 , $0.7 ,7.69%
Green Bancorp Inc. (GNBC) ,GNBC,322090000, 10/28/2015 , Sep 2015 , $0.2 , 3 , $0.17 ,-15%
Hanesbrands Inc. (HBI) ,HBI,12510000000, 10/28/2015 , Sep 2015 , $0.45 , 9 , $0.5 ,11.11%
Haverty Furniture Companies Inc. (HVT) ,HVT,530860000, 10/28/2015 , Sep 2015 , $0.35 , 3 , $0.34 ,-2.86%
Hawkins Inc. (HWKN) ,HWKN,437080000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.57 ,n/a
Healthcare Trust of America Inc. (HTA) ,HTA,3340000000, 10/28/2015 , Sep 2015 , $0.39 , 5 , $0.39 ,0%
HealthSouth Corporation (HLS) ,HLS,3190000000, 10/28/2015 , Sep 2015 , $0.59 , 8 , $0.52 ,-11.86%
Hersha Hospitality Trust (HT) ,HT,1110000000, 10/28/2015 , Sep 2015 , $0.61 , 4 , $0.67 ,9.84%
Hershey Company (The) (HSY) ,HSY,19460000000, 10/28/2015 , Sep 2015 , $1.12 , 7 , $1.17 ,4.46%
Hess Corporation (HES) ,HES,16140000000, 10/28/2015 , Sep 2015 , $-1.13 , 8 , $-1.03 ,-8.85%
Highway Holdings Limited (HIHO) ,HIHO,19390000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.1 ,n/a
Hilton Worldwide Holdings Inc. (HLT) ,HLT,24680000000, 10/28/2015 , Sep 2015 , $0.23 , 9 , $0.23 ,0%
Horace Mann Educators Corporation (HMN) ,HMN,1410000000, 10/28/2015 , Sep 2015 , $0.6 , 2 , $0.5 ,-16.67%
Hornbeck Offshore Services (HOS) ,HOS,484120000, 10/28/2015 , Sep 2015 , $0.28 , 8 , $0.22 ,-21.43%
Hub Group Inc. (HUBG) ,HUBG,1460000000, 10/28/2015 , Sep 2015 , $0.54 , 9 , $0.55 ,1.85%
Huttig Building Products Inc. (HBP) ,HBP,87080000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.92 ,n/a
Hyster-Yale Materials Handling Inc. (HY) ,HY,1190000000, 10/28/2015 , Sep 2015 , $1.34 , 2 , $1.28 ,-4.48%
IDEXX Laboratories Inc. (IDXX) ,IDXX,6240000000, 10/28/2015 , Sep 2015 , $0.53 , 7 , $0.54 ,1.89%
Imax Corporation (IMAX) ,IMAX,2660000000, 10/28/2015 , Sep 2015 , $0.13 , 5 , $0.12 ,-7.69%
Insight Enterprises Inc. (NSIT) ,NSIT,942080000, 10/28/2015 , Sep 2015 , $0.46 , 2 , $0.59 ,28.26%
Insignia Systems Inc. (ISIG) ,ISIG,34230000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.05 ,n/a
Installed Building Products Inc. (IBP) ,IBP,694760000, 10/28/2015 , Sep 2015 , $0.34 , 4 , $0.3 ,-11.76%
Intercontinental Exchange Inc. (ICE) ,ICE,27700000000, 10/28/2015 , Sep 2015 , $2.91 , 9 , $2.91 ,0%
Interface Inc. (TILE) ,TILE,1290000000, 10/28/2015 , Sep 2015 , $0.31 , 5 , $0.31 ,0%
International Paper Company (IP) ,IP,17830000000, 10/28/2015 , Sep 2015 , $0.92 , 8 , $0.97 ,5.43%
Intersil Corporation (ISIL) ,ISIL,1790000000, 10/28/2015 , Sep 2015 , $0.09 , 5 , $0.11 ,22.22%
InvenSense Inc. (INVN) ,INVN,1100000000, 10/28/2015 , Sep 2015 , $0.06 , 4 , $0.09 ,50%
Jones Lang LaSalle Incorporated (JLL) ,JLL,7500000000, 10/28/2015 , Sep 2015 , $1.95 , 4 , $2.52 ,29.23%
KapStone Paper and Packaging Corporation (KS) ,KS,2089999000, 10/28/2015 , Sep 2015 , $0.48 , 5 , $0.49 ,2.08%
Kilroy Realty Corporation (KRC) ,KRC,6070000000, 10/28/2015 , Sep 2015 , $0.76 , 10 , $0.77 ,1.32%
Kirby Corporation (KEX) ,KEX,3580000000, 10/28/2015 , Sep 2015 , $1.03 , 7 , $1.04 ,0.97%
Kraton Performance Polymers Inc (KRA) ,KRA,639230000, 10/28/2015 , Sep 2015 , $0.68 , 2 , $0.48 ,-29.41%
La Quinta Holdings Inc. (LQ) ,LQ,1960000000, 10/28/2015 , Sep 2015 , $0.2 , 7 , $0.19 ,-5%
Lake Shore Bancorp Inc. (LSBK) ,LSBK,80340000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.21 ,n/a
Level 3 Communications Inc. (LVLT) ,LVLT,18130000000, 10/28/2015 , Sep 2015 , $0.46 , 9 , $0.48 ,4.35%
LifeLock Inc. (LOCK) ,LOCK,1340000000, 10/28/2015 , Sep 2015 , $0.18 , 1 , $0.23 ,27.78%
Lincoln National Corporation (LNC) ,LNC,13430000000, 10/28/2015 , Sep 2015 , $1.52 , 10 , $1.11 ,-26.97%
Littelfuse Inc. (LFUS) ,LFUS,2260000000, 10/28/2015 , Sep 2015 , $1.31 , 4 , $1.43 ,9.16%
Lloyds Banking Group Plc (LYG) ,LYG,81820000000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.14 ,n/a
Luby's Inc. (LUB) ,LUB,133270000, 10/28/2015 , Aug 2015 , $n/a , 0 , $-0.03 ,n/a
Mack-Cali Realty Corporation (CLI) ,CLI,1940000000, 10/28/2015 , Sep 2015 , $0.44 , 6 , $0.51 ,15.91%
Manitowoc Company Inc. (The) (MTW) ,MTW,2089999000, 10/28/2015 , Sep 2015 , $0.07 , 10 , $0.09 ,28.57%
Manning & Napier Inc. (MN) ,MN,110820000, 10/28/2015 , Sep 2015 , $0.23 , 5 , $0.21 ,-8.7%
ManTech International Corporation (MANT) ,MANT,1090000000, 10/28/2015 , Sep 2015 , $0.36 , 6 , $0.35 ,-2.78%
Marine Harvest ASA (MHG) ,MHG,6040000000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.06 ,n/a
Marine Products Corporation (MPX) ,MPX,269760000, 10/28/2015 , Sep 2015 , $0.07 , 2 , $0.08 ,14.29%
Marriott International (MAR) ,MAR,19740000000, 10/28/2015 , Sep 2015 , $0.74 , 10 , $0.78 ,5.41%
