Medidata Solutions Inc. (MDSO) ,MDSO,2380000000, 10/28/2014 , Sep 2014 , $0.08 , 3 , $0.09 ,12.5%
Mercury Systems Inc (MRCY) ,MRCY,590820000, 10/28/2014 , Sep 2014 , $-0.02 , 5 , $0.07 ,-450%
Meridian Bancorp Inc. (EBSB) ,EBSB,771760000, 10/28/2014 , Sep 2014 , $0.06 , 2 , $0.11 ,83.33%
MidSouth Bancorp (MSL) ,MSL,115300000, 10/28/2014 , Sep 2014 , $0.38 , 4 , $0.36 ,-5.26%
MSC Industrial Direct Company Inc. (MSM) ,MSM,3870000000, 10/28/2014 , Aug 2014 , $1.01 , 9 , $1.02 ,0.99%
MUELLER WATER PRODUCTS (MWA) ,MWA,1410000000, 10/28/2014 , Sep 2014 , $0.12 , 8 , $0.12 ,0%
Myers Industries Inc. (MYE) ,MYE,483880000, 10/28/2014 , Sep 2014 , $0.18 , 2 , $0.15 ,-16.67%
Nanometrics Incorporated (NANO) ,NANO,369170000, 10/28/2014 , Sep 2014 , $-0.25 , 2 , $-0.24 ,-4%
National Interstate Corporation (NATL) ,NATL,569430000, 10/28/2014 , Sep 2014 , $0.37 , 3 , $0.36 ,-2.7%
Navigant Consulting Inc. (NCI) ,NCI,818390000, 10/28/2014 , Sep 2014 , $0.27 , 5 , $0.32 ,18.52%
NeuroMetrix Inc. (NURO) ,NURO,8820000, 10/28/2014 , Sep 2014 , $n/a , 0 , $-0.26 ,n/a
Newfield Exploration Company (NFX) ,NFX,6550000000, 10/28/2014 , Sep 2014 , $0.52 , 13 , $0.52 ,0%
Noble Energy Inc. (NBL) ,NBL,13870000000, 10/28/2014 , Sep 2014 , $0.36 , 15 , $0.28 ,-22.22%
Nomura Holdings Inc ADR (NMR) ,NMR,22630000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.09 ,n/a
Novartis AG (NVS) ,NVS,216660000000, 10/28/2014 , Sep 2014 , $1.29 , 1 , $1.28 ,-0.78%
Ocean Shore Holding Co. (OSHC) ,OSHC,110550000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.25 ,n/a
Owens-Illinois Inc. (OI) ,OI,3470000000, 10/28/2014 , Sep 2014 , $0.73 , 9 , $0.75 ,2.74%
P.A.M. Transportation Services Inc. (PTSI) ,PTSI,255170000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.63 ,n/a
PACCAR Inc. (PCAR) ,PCAR,18690000000, 10/28/2014 , Sep 2014 , $0.96 , 11 , $1.04 ,8.33%
Pacific Gas & Electric Co. (PCG) ,PCG,26190000000, 10/28/2014 , Sep 2014 , $1.15 , 8 , $1.73 ,50.43%
Panera Bread Company (PNRA) ,PNRA,4470000000, 10/28/2014 , Sep 2014 , $1.42 , 14 , $1.38 ,-2.82%
Parker-Hannifin Corporation (PH) ,PH,14490000000, 10/28/2014 , Sep 2014 , $1.66 , 9 , $1.89 ,13.86%
Pennsylvania Real Estate Investment Trust (PEI) ,PEI,1560000000, 10/28/2014 , Sep 2014 , $0.52 , 5 , $0.49 ,-5.77%
Pericom Semiconductor Corporation (PSEM) ,PSEM,382000000, 10/28/2014 , Sep 2014 , $0.1 , 2 , $0.14 ,40%
Pfizer Inc. (PFE) ,PFE,208580000000, 10/28/2014 , Sep 2014 , $0.56 , 8 , $0.57 ,1.79%
Pioneer Energy Services Corp. (PES) ,PES,148990000, 10/28/2014 , Sep 2014 , $0.16 , 7 , $0.09 ,-43.75%
Plantronics Inc. (PLT) ,PLT,1890000000, 10/28/2014 , Sep 2014 , $0.64 , 3 , $0.66 ,3.13%
Portland General Electric Company (POR) ,POR,3290000000, 10/28/2014 , Sep 2014 , $0.48 , 6 , $0.47 ,-2.08%
PriceSmart Inc. (PSMT) ,PSMT,2600000000, 10/28/2014 , Aug 2014 , $0.73 , 3 , $0.73 ,0%
Pulaski Financial Corp. (PULB) ,PULB,177700000, 10/28/2014 , Sep 2014 , $0.27 , 2 , $0.27 ,0%
QLT Inc. (QLTI) ,QLTI,146870000, 10/28/2014 , Sep 2014 , $-0.12 , 1 , $-0.1 ,-16.67%
